"tail.node"	"head.node"	"capacity..veh.h."	"length..miles."	"fftt.min."	"Power"	"B"	"Flow"	"speed.limit..mph."	"toll..cents."	"link.type"	"X"
49	40420	99999	0	0.93501	3.6	0.9	0	0	0	1	";"
50	29243	99999	0	1.25689	3.6	0.9	0	0	0	1	";"
50	29246	99999	0	1.12169	3.6	0.9	0	0	0	1	";"
51	40418	99999	0	1.05584	3.6	0.9	0	0	0	1	";"
51	40419	99999	0	1.02438	3.6	0.9	0	0	0	1	";"
52	40418	99999	0	1.1962	3.6	0.9	0	0	0	1	";"
53	29253	99999	0	0.842	3.6	0.9	0	0	0	1	";"
54	29231	99999	0	0.47139	3.6	0.9	0	0	0	1	";"
54	29257	99999	0	1.20055	3.6	0.9	0	0	0	1	";"
55	29229	99999	0	1.09244	3.6	0.9	0	0	0	1	";"
56	29237	99999	0	1.04024	3.6	0.9	0	0	0	1	";"
57	29239	99999	0	0.92571	3.6	0.9	0	0	0	1	";"
57	29241	99999	0	1.29353	3.6	0.9	0	0	0	1	";"
58	40428	99999	0	1.10732	3.6	0.9	0	0	0	1	";"
59	28972	99999	0	0.41885	3.6	0.9	0	0	0	1	";"
60	28967	99999	0	1.00762	3.6	0.9	0	0	0	1	";"
60	40429	99999	0	0.85362	3.6	0.9	0	0	0	1	";"
61	28949	99999	0	0.6828	3.6	0.9	0	0	0	1	";"
62	28668	99999	0	1.38475	3.6	0.9	0	0	0	1	";"
62	40740	99999	0	0.6845	3.6	0.9	0	0	0	1	";"
63	28972	99999	0	0.55905	3.6	0.9	0	0	0	1	";"
64	29239	99999	0	0.97024	3.6	0.9	0	0	0	1	";"
64	40741	99999	0	0.86963	3.6	0.9	0	0	0	1	";"
65	4104	99999	0	1.1856	3.6	0.9	0	0	0	1	";"
65	40741	99999	0	0.55307	3.6	0.9	0	0	0	1	";"
66	40431	99999	0	0.55746	3.6	0.9	0	0	0	1	";"
67	19844	99999	0	0.52349	3.6	0.9	0	0	0	1	";"
68	50738	99999	0	0.246	3.6	0.9	0	0	0	1	";"
69	4778	99999	0	0.75671	3.6	0.9	0	0	0	1	";"
69	4807	99999	0	1.0051	3.6	0.9	0	0	0	1	";"
70	29126	99999	0	0.30374	3.6	0.9	0	0	0	1	";"
71	28680	99999	0	0.87705	3.6	0.9	0	0	0	1	";"
72	29256	99999	0	0.72838	3.6	0.9	0	0	0	1	";"
73	28680	99999	0	0.79343	3.6	0.9	0	0	0	1	";"
74	29270	99999	0	0.88662	3.6	0.9	0	0	0	1	";"
75	40417	99999	0	1.16948	3.6	0.9	0	0	0	1	";"
76	40421	99999	0	1.11393	3.6	0.9	0	0	0	1	";"
77	29224	99999	0	1.04759	3.6	0.9	0	0	0	1	";"
78	29305	99999	0	0.86531	3.6	0.9	0	0	0	1	";"
79	29223	99999	0	1.58002	3.6	0.9	0	0	0	1	";"
79	29308	99999	0	0.60029	3.6	0.9	0	0	0	1	";"
80	29272	99999	0	1.39845	3.6	0.9	0	0	0	1	";"
80	29279	99999	0	0.40761	3.6	0.9	0	0	0	1	";"
81	40423	99999	0	0.65819	3.6	0.9	0	0	0	1	";"
82	29272	99999	0	2.31627	3.6	0.9	0	0	0	1	";"
82	40422	99999	0	1.6586	3.6	0.9	0	0	0	1	";"
83	29207	99999	0	1.3146	3.6	0.9	0	0	0	1	";"
83	29295	99999	0	1.39767	3.6	0.9	0	0	0	1	";"
83	29296	99999	0	1.0153	3.6	0.9	0	0	0	1	";"
84	25172	99999	0	2.22099	3.6	0.9	0	0	0	1	";"
85	25172	99999	0	1.203	3.6	0.9	0	0	0	1	";"
86	25137	99999	0	1.85918	3.6	0.9	0	0	0	1	";"
86	29223	99999	0	1.83841	3.6	0.9	0	0	0	1	";"
87	40424	99999	0	2.82229	3.6	0.9	0	0	0	1	";"
88	40425	99999	0	1.73758	3.6	0.9	0	0	0	1	";"
89	40426	99999	0	1.15047	3.6	0.9	0	0	0	1	";"
90	40427	99999	0	1.50077	3.6	0.9	0	0	0	1	";"
91	40427	99999	0	1.35321	3.6	0.9	0	0	0	1	";"
92	34663	99999	0	0.71797	3.6	0.9	0	0	0	1	";"
92	34668	99999	0	1.0982	3.6	0.9	0	0	0	1	";"
93	34647	99999	0	0.8831	3.6	0.9	0	0	0	1	";"
93	40426	99999	0	1.05614	3.6	0.9	0	0	0	1	";"
94	34662	99999	0	1.11489	3.6	0.9	0	0	0	1	";"
94	34663	99999	0	1.57291	3.6	0.9	0	0	0	1	";"
95	34649	99999	0	1.64253	3.6	0.9	0	0	0	1	";"
95	40444	99999	0	1.32038	3.6	0.9	0	0	0	1	";"
96	34653	99999	0	0.85467	3.6	0.9	0	0	0	1	";"
97	40432	99999	0	0.61019	3.6	0.9	0	0	0	1	";"
98	5118	99999	0	1.0615	3.6	0.9	0	0	0	1	";"
98	40432	99999	0	1.08899	3.6	0.9	0	0	0	1	";"
99	5236	99999	0	0.92403	3.6	0.9	0	0	0	1	";"
99	29169	99999	0	1.2721	3.6	0.9	0	0	0	1	";"
100	29210	99999	0	0.88095	3.6	0.9	0	0	0	1	";"
101	29209	99999	0	0.58186	3.6	0.9	0	0	0	1	";"
101	34449	99999	0	0.87868	3.6	0.9	0	0	0	1	";"
101	34453	99999	0	1.0248	3.6	0.9	0	0	0	1	";"
102	34458	99999	0	0.62707	3.6	0.9	0	0	0	1	";"
102	34466	99999	0	1.12421	3.6	0.9	0	0	0	1	";"
103	34463	99999	0	0.28788	3.6	0.9	0	0	0	1	";"
104	25150	99999	0	0.57111	3.6	0.9	0	0	0	1	";"
105	25177	99999	0	1.06709	3.6	0.9	0	0	0	1	";"
105	34653	99999	0	1.42046	3.6	0.9	0	0	0	1	";"
106	40444	99999	0	0.52297	3.6	0.9	0	0	0	1	";"
107	34360	99999	0	0.75606	3.6	0.9	0	0	0	1	";"
107	34659	99999	0	1.13119	3.6	0.9	0	0	0	1	";"
108	34660	99999	0	0.80438	3.6	0.9	0	0	0	1	";"
108	40443	99999	0	1.11311	3.6	0.9	0	0	0	1	";"
109	40443	99999	0	1.09037	3.6	0.9	0	0	0	1	";"
110	34437	99999	0	1.20574	3.6	0.9	0	0	0	1	";"
110	34442	99999	0	2.35978	3.6	0.9	0	0	0	1	";"
111	34575	99999	0	0.6765	3.6	0.9	0	0	0	1	";"
111	34592	99999	0	0.58415	3.6	0.9	0	0	0	1	";"
112	34364	99999	0	1.89615	3.6	0.9	0	0	0	1	";"
112	34575	99999	0	1.3489	3.6	0.9	0	0	0	1	";"
112	34639	99999	0	1.60801	3.6	0.9	0	0	0	1	";"
113	34636	99999	0	1.69114	3.6	0.9	0	0	0	1	";"
113	34639	99999	0	1.43394	3.6	0.9	0	0	0	1	";"
113	34696	99999	0	2.07619	3.6	0.9	0	0	0	1	";"
114	34666	99999	0	1.78973	3.6	0.9	0	0	0	1	";"
114	34698	99999	0	0.87111	3.6	0.9	0	0	0	1	";"
115	34630	99999	0	1.96417	3.6	0.9	0	0	0	1	";"
115	34632	99999	0	1.80273	3.6	0.9	0	0	0	1	";"
116	34718	99999	0	0.6135	3.6	0.9	0	0	0	1	";"
117	34728	99999	0	1.62981	3.6	0.9	0	0	0	1	";"
118	34378	99999	0	1.96633	3.6	0.9	0	0	0	1	";"
118	34391	99999	0	2.4854	3.6	0.9	0	0	0	1	";"
119	34693	99999	0	1.6493	3.6	0.9	0	0	0	1	";"
119	34701	99999	0	1.90604	3.6	0.9	0	0	0	1	";"
120	34367	99999	0	1.21516	3.6	0.9	0	0	0	1	";"
121	34364	99999	0	1.47152	3.6	0.9	0	0	0	1	";"
121	34695	99999	0	1.97896	3.6	0.9	0	0	0	1	";"
122	34625	99999	0	1.145	3.6	0.9	0	0	0	1	";"
123	34368	99999	0	2.06141	3.6	0.9	0	0	0	1	";"
124	34368	99999	0	0.89002	3.6	0.9	0	0	0	1	";"
124	34885	99999	0	1.85404	3.6	0.9	0	0	0	1	";"
125	34704	99999	0	0.43399	3.6	0.9	0	0	0	1	";"
126	34388	99999	0	2.07876	3.6	0.9	0	0	0	1	";"
126	34707	99999	0	1.82778	3.6	0.9	0	0	0	1	";"
126	34877	99999	0	1.16208	3.6	0.9	0	0	0	1	";"
127	34899	99999	0	2.07893	3.6	0.9	0	0	0	1	";"
128	34877	99999	0	1.73121	3.6	0.9	0	0	0	1	";"
128	34895	99999	0	2.14603	3.6	0.9	0	0	0	1	";"
129	34884	99999	0	1.14783	3.6	0.9	0	0	0	1	";"
129	34887	99999	0	1.18455	3.6	0.9	0	0	0	1	";"
130	34875	99999	0	0.92037	3.6	0.9	0	0	0	1	";"
131	34725	99999	0	3.4813	3.6	0.9	0	0	0	1	";"
132	40484	99999	0	1.27826	3.6	0.9	0	0	0	1	";"
133	34394	99999	0	1.34777	3.6	0.9	0	0	0	1	";"
134	34723	99999	0	1.05745	3.6	0.9	0	0	0	1	";"
135	34716	99999	0	0.60329	3.6	0.9	0	0	0	1	";"
136	34310	99999	0	1.99907	3.6	0.9	0	0	0	1	";"
136	54779	99999	0	2.94309	3.6	0.9	0	0	0	1	";"
137	34942	99999	0	1.14902	3.6	0.9	0	0	0	1	";"
137	34973	99999	0	1.65326	3.6	0.9	0	0	0	1	";"
137	35003	99999	0	1.15665	3.6	0.9	0	0	0	1	";"
138	34310	99999	0	2.51159	3.6	0.9	0	0	0	1	";"
138	34326	99999	0	2.65886	3.6	0.9	0	0	0	1	";"
138	34923	99999	0	4.41579	3.6	0.9	0	0	0	1	";"
139	34327	99999	0	2.58665	3.6	0.9	0	0	0	1	";"
139	34734	99999	0	3.28725	3.6	0.9	0	0	0	1	";"
140	35007	99999	0	3.26394	3.6	0.9	0	0	0	1	";"
140	35159	99999	0	1.72167	3.6	0.9	0	0	0	1	";"
141	34996	99999	0	1.74202	3.6	0.9	0	0	0	1	";"
141	35005	99999	0	2.81135	3.6	0.9	0	0	0	1	";"
141	54636	99999	0	1.42548	3.6	0.9	0	0	0	1	";"
142	34941	99999	0	2.28869	3.6	0.9	0	0	0	1	";"
142	34996	99999	0	1.79611	3.6	0.9	0	0	0	1	";"
143	40366	99999	0	1.52118	3.6	0.9	0	0	0	1	";"
144	34928	99999	0	2.48647	3.6	0.9	0	0	0	1	";"
144	35012	99999	0	3.79479	3.6	0.9	0	0	0	1	";"
145	35152	99999	0	3.06017	3.6	0.9	0	0	0	1	";"
145	35189	99999	0	2.11939	3.6	0.9	0	0	0	1	";"
146	34324	99999	0	0.70548	3.6	0.9	0	0	0	1	";"
146	35191	99999	0	4.95593	3.6	0.9	0	0	0	1	";"
147	35193	99999	0	4.63764	3.6	0.9	0	0	0	1	";"
147	40339	99999	0	2.79903	3.6	0.9	0	0	0	1	";"
148	35180	99999	0	0.85694	3.6	0.9	0	0	0	1	";"
148	35194	99999	0	0.3416	3.6	0.9	0	0	0	1	";"
149	35153	99999	0	2.96033	3.6	0.9	0	0	0	1	";"
149	35181	99999	0	3.38216	3.6	0.9	0	0	0	1	";"
150	40339	99999	0	3.14623	3.6	0.9	0	0	0	1	";"
151	34352	99999	0	3.92187	3.6	0.9	0	0	0	1	";"
151	34906	99999	0	5.8446	3.6	0.9	0	0	0	1	";"
152	34910	99999	0	3.5756	3.6	0.9	0	0	0	1	";"
153	34335	99999	0	1.79847	3.6	0.9	0	0	0	1	";"
153	34918	99999	0	2.26511	3.6	0.9	0	0	0	1	";"
153	35408	99999	0	3.06396	3.6	0.9	0	0	0	1	";"
154	35427	99999	0	0.96336	3.6	0.9	0	0	0	1	";"
155	35432	99999	0	0.49149	3.6	0.9	0	0	0	1	";"
156	35422	99999	0	1.17355	3.6	0.9	0	0	0	1	";"
156	35425	99999	0	0.87755	3.6	0.9	0	0	0	1	";"
157	35420	99999	0	0.5468	3.6	0.9	0	0	0	1	";"
158	40452	99999	0	3.25269	3.6	0.9	0	0	0	1	";"
159	34912	99999	0	5.54597	3.6	0.9	0	0	0	1	";"
160	34323	99999	0	1.34722	3.6	0.9	0	0	0	1	";"
161	35313	99999	0	0.78855	3.6	0.9	0	0	0	1	";"
162	35316	99999	0	0.64585	3.6	0.9	0	0	0	1	";"
163	35263	99999	0	0.66154	3.6	0.9	0	0	0	1	";"
164	10013	99999	0	2.73124	3.6	0.9	0	0	0	1	";"
164	40455	99999	0	0.38154	3.6	0.9	0	0	0	1	";"
165	40454	99999	0	1.88027	3.6	0.9	0	0	0	1	";"
165	54577	99999	0	1.21491	3.6	0.9	0	0	0	1	";"
166	34799	99999	0	2.37354	3.6	0.9	0	0	0	1	";"
166	40454	99999	0	1.93948	3.6	0.9	0	0	0	1	";"
167	40453	99999	0	3.02123	3.6	0.9	0	0	0	1	";"
168	34745	99999	0	1.38533	3.6	0.9	0	0	0	1	";"
169	34850	99999	0	1.66864	3.6	0.9	0	0	0	1	";"
170	9007	99999	0	1.59818	3.6	0.9	0	0	0	1	";"
171	34755	99999	0	0.99895	3.6	0.9	0	0	0	1	";"
172	34763	99999	0	0.82026	3.6	0.9	0	0	0	1	";"
173	34762	99999	0	0.68705	3.6	0.9	0	0	0	1	";"
174	8628	99999	0	1.28309	3.6	0.9	0	0	0	1	";"
174	34762	99999	0	0.64101	3.6	0.9	0	0	0	1	";"
175	8628	99999	0	0.91088	3.6	0.9	0	0	0	1	";"
175	8759	99999	0	0.85005	3.6	0.9	0	0	0	1	";"
