zoneId	Latitude	Longitude
1	45.3992035487773	-93.4797129366913
10	45.3776258401205	-93.2757094009385
100	45.2093724296721	-93.3359846114985
1000	44.9851723634291	-93.4865290102824
1001	44.9844005678957	-93.4962453004699
1002	44.985715426751	-93.5118367215397
1003	45.0038833648171	-93.5139839292596
1004	45.0015195269321	-93.4979558974623
1005	45.0117394169404	-93.4988966858794
1006	45.0186721609145	-93.5029652510589
1007	45.0205043310058	-93.5151924332304
1008	45.0323008914962	-93.5156793702467
1009	45.0248638041306	-93.5015198521693
101	45.2040673752322	-93.3244454941726
1010	45.0077015243472	-93.4870562343342
1011	45.0069539754044	-93.4768980738639
1012	45.0052876618723	-93.4667345862882
1013	45.0043483422615	-93.4595087785506
1014	44.9673591298486	-93.4517292165077
1015	44.9528750815009	-93.4549041384068
1016	44.9534379904109	-93.446661192038
1017	44.933386287037	-93.4440649257154
1018	44.9229205083827	-93.4396241576459
1019	44.9139994861348	-93.4397077077301
102	45.2051324982222	-93.312586445286
1020	44.9046061829796	-93.4334910323041
1021	44.8958840013906	-93.4352530020989
1022	44.8950834882606	-93.4100499605091
1023	44.9028115670816	-93.4138000011186
1024	44.9099020623437	-93.4200947650697
1025	44.9131463139694	-93.4073236310212
1026	44.9172179683555	-93.4196767016494
1027	44.9235153504316	-93.4178520266275
1028	44.9236627720882	-93.4103004029029
1029	44.9290650431756	-93.4023453925911
103	45.2145835022831	-93.317856113541
1030	44.9296718637018	-93.4102816029312
1031	44.9295577706385	-93.4180446785281
1032	44.9270591743034	-93.4245930694586
1033	44.9387619181944	-93.4290646003497
1034	44.9389520145617	-93.413530518533
1035	44.9391767462768	-93.4017149064891
1036	44.9471545526535	-93.4104973461605
1037	44.9519601962413	-93.4099620217761
1038	44.9463342386553	-93.4326175879057
1039	44.958019710119	-93.4307607839036
104	45.2179039224625	-93.3149053573753
1040	44.9568034965787	-93.4159386385377
1041	44.9650697195768	-93.4094436429054
1042	44.9681421025624	-93.4339335133677
1043	44.9770404221942	-93.4542467519308
1044	44.9907623129416	-93.4553222106428
1045	45.0030457304889	-93.4545020345138
1046	45.0018896192212	-93.4479547436594
1047	44.988875371622	-93.439823753247
1048	44.9773746690605	-93.4337914886523
1049	44.9787835031966	-93.4115166239531
105	45.2255406514948	-93.3167904455374
1050	44.987636486535	-93.4073695428258
1051	44.9972490659378	-93.4144270934647
1052	45.0117549797411	-93.4097658349201
1053	45.0039868382527	-93.4335573913964
1054	45.0170091765061	-93.4530190430256
1055	45.0205448865174	-93.4470479355902
1056	45.0234701680458	-93.4311333755203
1057	45.0275980067382	-93.4106191993471
1058	45.0390178243708	-93.411371059943
1059	45.0397386590485	-93.4281816504292
106	45.2305203538663	-93.2942275925464
1060	45.0370485505075	-93.4412346754771
1061	45.035861288881	-93.4493767110105
1062	45.0519482099556	-93.4485660259915
1063	45.0630881066354	-93.4449571943776
1064	45.0527326594624	-93.4343288508879
1065	45.0514531998829	-93.4102923762605
1066	45.0621682961055	-93.4171501654519
1067	45.0709756274499	-93.4397255775932
1068	45.0838207073054	-93.4386387324164
1069	45.0762038286179	-93.4170893653107
107	45.2244437242249	-93.2938248827035
1070	45.0879831311218	-93.3967883019617
1071	45.098701998949	-93.3942931989611
1072	45.085491934627	-93.384964374948
1073	45.0904330459043	-93.3790568721279
1074	45.1025638904449	-93.3832797024371
1075	45.1016564762246	-93.366665363602
1076	45.0860304564383	-93.3659545509833
1077	45.0864214899869	-93.3519221679905
1078	45.0932707841242	-93.3465925190475
1079	45.102834429437	-93.349294499839
108	45.2261375941608	-93.2733599528422
1080	45.103659558118	-93.3311225864098
1081	45.1018327258838	-93.3107365359697
1082	45.0967813999726	-93.2963858138152
1083	45.1026489880122	-93.2933579446163
1084	45.0975967741824	-93.2838234893837
1085	45.0906936792068	-93.2946996161951
1086	45.0912412348104	-93.309829542133
1087	45.0927212367696	-93.3300659772368
1088	45.0838208718227	-93.3294774155791
1089	45.0826101136158	-93.3440573131444
109	45.2158450784231	-93.285591315085
1090	45.0779979146588	-93.3451268120394
2892	45.1570467405409	-92.7220507545839
2893	45.1762905048993	-92.663827848821
2897	45.0964279646769	-92.6728121344714
2924	45.1703724015405	-92.6258478977696
2922	45.1975121821756	-92.5320624667075
2921	45.1686198728882	-92.4630029101618
2919	45.1649723273474	-92.3431031898869
2920	45.1888827684692	-92.3879454470726
2918	45.1657736826069	-92.2195154990953
2898	45.0722104955204	-92.7822987572666
2899	45.0572243107541	-92.7608198174117
2900	45.0376458764873	-92.7697798318424
2901	45.0475543719732	-92.703533952262
2902	45.0481961394818	-92.6425780789123
2943	45.065810736392	-92.5449598969908
2914	45.0789946090954	-92.4360398471377
2915	45.0778620236077	-92.3163268849518
2916	45.0783996156831	-92.1990275920376
2917	45.0566602975283	-92.1716786161782
2944	45.0144212146565	-92.558445147081
2945	44.9767550279673	-92.5882172318672
2947	44.9701745400817	-92.5248299499296
2946	44.9547300123845	-92.5848588228665
2969	45.0100487668663	-92.4316082972293
2971	44.9623079168589	-92.4106722399751
2962	44.9929655657237	-92.3147914733
2963	44.953168711052	-92.2870022603163
2960	44.9896265123253	-92.197854107696
2961	44.9562234442219	-92.170396060003
2934	44.8997207514471	-92.7480202701707
2935	44.8986875196913	-92.696736563672
2936	44.9278935443058	-92.6491061819946
2950	44.8820764754556	-92.5930281083783
2949	44.9246413313026	-92.5905741445436
2951	44.9029585633333	-92.533940721877
2952	44.9457187985281	-92.4665154037223
2953	44.9022600494276	-92.4662647836644
2955	44.944919127648	-92.4144638274408
