"N"	"lon"	"lat"	"X"
177	-93.15188218	45.15920482	";"
178	-93.13140319	45.16452112	";"
179	-93.13069849	45.17690723	";"
180	-93.09398922	45.19063602	";"
181	-93.11395655	45.19042508	";"
182	-93.1325175	45.18932666	";"
183	-93.11951991	45.20398663	";"
184	-93.15304092	45.18794731	";"
185	-93.19060061	45.20410906	";"
186	-93.22648438	45.20460012	";"
187	-93.25023917	45.20434702	";"
188	-93.25700281	45.19080768	";"
189	-93.2426467	45.18887141	";"
190	-93.22453553	45.19066916	";"
191	-93.2024097	45.19297767	";"
192	-93.19523168	45.18577827	";"
193	-93.17455689	45.18882319	";"
194	-93.18383298	45.17438201	";"
195	-93.21383739	45.17708299	";"
196	-93.2278382	45.1767882	";"
197	-93.18855423	45.15874849	";"
198	-93.19455812	45.13165356	";"
199	-93.1997951	45.13737615	";"
200	-93.21397218	45.14629266	";"
201	-93.22528139	45.13266068	";"
202	-93.2268748	45.16092002	";"
203	-93.24028904	45.14279326	";"
204	-93.25588232	45.1456969	";"
205	-93.25727655	45.15802061	";"
206	-93.2433425	45.16056653	";"
207	-93.2452193	45.17554802	";"
208	-93.2609211	45.17519966	";"
209	-93.27414898	45.19403164	";"
210	-93.27127713	45.18211483	";"
211	-93.27093117	45.16024426	";"
212	-93.2748107	45.14605845	";"
213	-93.28825854	45.15349719	";"
214	-93.28075728	45.15624541	";"
215	-93.28375365	45.16939065	";"
216	-93.28464064	45.18408995	";"
217	-93.28838655	45.19333295	";"
218	-93.30095058	45.19344274	";"
219	-93.30267378	45.18589618	";"
220	-93.30179207	45.17838428	";"
221	-93.30323346	45.16591258	";"
222	-93.31186565	45.17616964	";"
223	-93.32106007	45.19191425	";"
224	-93.3305818	45.18630629	";"
225	-93.34579471	45.1920904	";"
226	-93.35106728	45.20037883	";"
227	-93.3681433	45.20100306	";"
228	-93.38403138	45.20111325	";"
229	-93.38471928	45.19423586	";"
230	-93.38130521	45.1857608	";"
231	-93.36970207	45.19140916	";"
232	-93.36473844	45.1793575	";"
233	-93.35764603	45.18338264	";"
234	-93.35631146	45.18973382	";"
235	-93.34541066	45.17988615	";"
236	-93.32523642	45.17698501	";"
237	-93.32928936	45.1704534	";"
238	-93.33511944	45.16223371	";"
239	-93.30781262	45.15778925	";"
240	-93.30496951	45.14544925	";"
241	-93.28780175	45.14331279	";"
242	-93.29169455	45.12771552	";"
243	-93.28174754	45.13280078	";"
244	-93.27269128	45.13348807	";"
245	-93.25865878	45.13671292	";"
246	-93.26223199	45.12838421	";"
247	-93.25377089	45.12925555	";"
248	-93.24149622	45.12858452	";"
249	-93.22824679	45.1261226	";"
250	-93.23522189	45.11306528	";"
251	-93.24429976	45.11896841	";"
252	-93.2561009	45.11992165	";"
253	-93.25347536	45.11151606	";"
254	-93.27025724	45.11632762	";"
255	-93.28011313	45.10825243	";"
256	-93.26675357	45.09863507	";"
257	-93.25358906	45.10418918	";"
258	-93.23583512	45.10405907	";"
259	-93.23507192	45.09569768	";"
260	-93.25446165	45.09674031	";"
261	-93.25262951	45.08990112	";"
262	-93.23665908	45.08884833	";"
263	-93.23608517	45.08393141	";"
264	-93.25400735	45.08275666	";"
265	-93.23619522	45.07813034	";"
266	-93.23635375	45.07037598	";"
267	-93.25421779	45.07415769	";"
268	-93.26710555	45.0792712	";"
269	-93.27531659	45.07982513	";"
270	-93.27800757	45.06061409	";"
271	-93.27019844	45.05986393	";"
272	-93.26559801	45.06028767	";"
273	-93.25553029	45.06276609	";"
274	-93.237581	45.06140873	";"
275	-93.23793465	45.05252891	";"
276	-93.25533572	45.05271073	";"
277	-93.23675776	45.04481834	";"
278	-93.25525168	45.04459126	";"
279	-93.26552812	45.0464324	";"
280	-93.27070725	45.04622516	";"
281	-93.27782576	45.04278263	";"
282	-93.26828704	45.03827806	";"
283	-93.25507613	45.03826737	";"
284	-93.23719974	45.03830307	";"
285	-93.99199512	44.96409604	";"
286	-93.99179477	44.92787743	";"
287	-93.95101875	44.93488044	";"
288	-93.93309039	44.97132643	";"
289	-93.90975326	44.9357984	";"
290	-93.8769815	44.92948078	";"
291	-93.84669444	44.92713766	";"
292	-93.87025303	44.9596538	";"
293	-93.85829618	44.97359667	";"
294	-93.80884715	44.97063176	";"
295	-93.79415826	44.95845007	";"
296	-93.80041976	44.92922135	";"
297	-93.79325103	44.89815688	";"
298	-93.8541971	44.89835726	";"
299	-93.90086533	44.88854736	";"
300	-93.93417188	44.89607152	";"
301	-93.99097304	44.89153291	";"
302	-93.98800633	44.86458494	";"
303	-93.94965463	44.86767565	";"
304	-93.91020673	44.86423184	";"
305	-93.90867001	44.82639742	";"
306	-93.94680438	44.82892281	";"
307	-93.98646189	44.82639274	";"
308	-93.96276199	44.79719334	";"
309	-93.97442224	44.78144764	";"
310	-93.99526667	44.74281089	";"
311	-93.96498701	44.75009816	";"
312	-93.93459609	44.7245224	";"
313	-93.93411694	44.74960991	";"
314	-93.90512555	44.75294113	";"
315	-93.91691742	44.77880581	";"
316	-93.89847914	44.78315013	";"
317	-93.91738287	44.79764175	";"
318	-93.85668322	44.83161659	";"
319	-93.85575276	44.86191825	";"
320	-93.84667375	44.88191179	";"
321	-93.78308772	44.87479741	";"
322	-93.80323367	44.85932931	";"
323	-93.81079239	44.84823893	";"
324	-93.79611049	44.84689823	";"
325	-93.77688976	44.84923115	";"
326	-93.72232827	44.87387027	";"
327	-93.68866492	44.85388342	";"
328	-93.66649909	44.83995902	";"
329	-93.67112388	44.82099446	";"
330	-93.70024754	44.83474938	";"
331	-93.72544222	44.85360769	";"
332	-93.75090853	44.84961888	";"
333	-93.73440301	44.83283958	";"
334	-93.72318568	44.80682385	";"
335	-93.75502515	44.82538489	";"
336	-93.77813941	44.82736686	";"
337	-93.77723939	44.840817	";"
338	-93.79777788	44.82895582	";"
339	-93.82172827	44.82438191	";"
340	-93.81700251	44.81104845	";"
341	-93.77739525	44.78679857	";"
342	-93.81763394	44.78561876	";"
343	-93.86872136	44.78613183	";"
344	-93.86896896	44.74247898	";"
345	-93.81814447	44.74272056	";"
346	-93.77761303	44.74066318	";"
347	-93.82846902	44.69522088	";"
348	-93.73147385	44.67199366	";"
349	-93.72712356	44.70337348	";"
350	-93.66273757	44.70531054	";"
351	-93.63695456	44.71421267	";"
352	-93.66142057	44.72766378	";"
353	-93.6338476	44.74607588	";"
354	-93.66929437	44.74798031	";"
355	-93.72569398	44.74652584	";"
356	-93.72969621	44.78546288	";"
357	-93.66834729	44.80048261	";"
358	-93.65851021	44.78369964	";"
359	-93.66108943	44.76929949	";"
360	-93.62587042	44.76738325	";"
361	-93.60561983	44.78102261	";"
362	-93.62194052	44.78833861	";"
363	-93.64152517	44.79907023	";"
364	-93.61109942	44.7996025	";"
365	-93.61117019	44.80950381	";"
366	-93.6394315	44.81441725	";"
367	-93.61519386	44.82240826	";"
368	-93.63987008	44.83509301	";"
369	-93.61654866	44.84451026	";"
370	-93.63488036	44.863652	";"
371	-93.64764137	44.85944857	";"
372	-93.65821506	44.87369092	";"
